Address,Type,Datetime,Latitude,Longitude,Report Location,Incident Number
Sw Orchard St / Delridge Way Sw,Motor Vehicle Incident,01/20/2015 05:56:00 PM +0000,47.537954,-122.361092,"(47.537954, -122.361092)",F150007273
Nw Market St / 6th Av Nw,Motor Vehicle Incident,01/20/2015 01:59:00 AM +0000,47.668651,-122.364019,"(47.668651, -122.364019)",F150007083
Dexter Av N / Thomas St,Motor Vehicle Incident,01/19/2015 11:57:00 PM +0000,47.620888,-122.342382,"(47.620888, -122.342382)",F150007044
5th Av / Virginia St,Motor Vehicle Incident,01/19/2015 11:29:00 PM +0000,47.613727,-122.339174,"(47.613727, -122.339174)",F150007031
S Massachusetts St / Rainier Av S,Motor Vehicle Incident,01/19/2015 09:28:00 PM +0000,47.588411,-122.305827,"(47.588411, -122.305827)",F150006995
14312 Lake City Way Ne,Motor Vehicle Incident,01/19/2015 07:50:00 PM +0000,47.732044,-122.292376,"(47.732044, -122.292376)",F150006972
2000 2nd Av,Motor Vehicle Incident,01/19/2015 10:47:00 AM +0000,47.611733,-122.341753,"(47.611733, -122.341753)",F150006869
Occidental Av S / S Lander St,Motor Vehicle Incident,01/19/2015 08:03:00 AM +0000,47.57981,-122.333269,"(47.57981, -122.333269)",F150006829
4th Av S / S Jackson St,Motor Vehicle Incident,01/19/2015 06:14:00 AM +0000,47.599197,-122.328968,"(47.599197, -122.328968)",F150006803
M L King Jr Way S / S Othello St,Motor Vehicle Incident,01/19/2015 03:36:00 AM +0000,47.537042,-122.281293,"(47.537042, -122.281293)",F150006749
Rainier Av S / S Plum St,Motor Vehicle Incident,01/19/2015 03:33:00 AM +0000,47.585498,-122.303605,"(47.585498, -122.303605)",F150006747
M L King Jr Way S / S Morgan St,Motor Vehicle Incident,01/18/2015 09:00:00 PM +0000,47.543904,-122.284426,"(47.543904, -122.284426)",F150006617
Denny Way / Westlake Av N,Motor Vehicle Incident,01/18/2015 04:02:00 PM +0000,47.618534,-122.338485,"(47.618534, -122.338485)",F150006543
Ashworth Av N / N 85th St,Motor Vehicle Incident,01/18/2015 07:27:00 AM +0000,47.690522,-122.339134,"(47.690522, -122.339134)",F150006389
2230 1st Av S,Motor Vehicle Incident,01/18/2015 06:58:00 AM +0000,47.583663,-122.334199,"(47.583663, -122.334199)",F150006381
19th Av W / W Emerson Pl,Motor Vehicle Incident,01/18/2015 01:10:00 AM +0000,47.65423,-122.381188,"(47.65423, -122.381188)",F150006268
4001 Sw Edmunds St,Motor Vehicle Incident,01/18/2015 12:50:00 AM +0000,47.559283,-122.382854,"(47.559283, -122.382854)",F150006257
Ne 75th St / 14th Av Ne,Motor Vehicle Incident,01/17/2015 11:55:00 PM +0000,47.683059,-122.313171,"(47.683059, -122.313171)",F150006241
S Lander St / 1st Av S,Motor Vehicle Incident,01/17/2015 09:00:00 PM +0000,47.579811,-122.334201,"(47.579811, -122.334201)",F150006183
36th Av S / S Genesee St,Motor Vehicle Incident,01/17/2015 08:38:00 PM +0000,47.564104,-122.287031,"(47.564104, -122.287031)",F150006178
Beacon Av S / S Mcclellan St,Motor Vehicle Incident,01/17/2015 08:34:00 PM +0000,47.578626,-122.311597,"(47.578626, -122.311597)",F150006175
25th Av Ne / Ne 54th St,Motor Vehicle Incident,01/17/2015 07:32:00 PM +0000,47.667978,-122.300616,"(47.667978, -122.300616)",F150006159
West Marginal Way S / S Holden St,Motor Vehicle Incident,01/17/2015 07:16:00 PM +0000,47.534148,-122.332133,"(47.534148, -122.332133)",F150006149
S Spencer St / Beacon Av S,Motor Vehicle Incident,01/17/2015 06:03:00 PM +0000,47.547727,-122.30104,"(47.547727, -122.30104)",F150006130
Boylston Av E / Lakeview Blvd E,Motor Vehicle Incident,01/17/2015 10:47:00 AM +0000,47.636808,-122.323468,"(47.636808, -122.323468)",F150006059
1700 1st Av S,Motor Vehicle Incident,01/17/2015 10:25:00 AM +0000,47.588229,-122.334197,"(47.588229, -122.334197)",F150006055
51st Av Sw / Sw Admiral Way,Motor Vehicle Incident,01/17/2015 06:38:00 AM +0000,47.579266,-122.397279,"(47.579266, -122.397279)",F150006001
53rd Av Sw / Sw Admiral Way,Motor Vehicle Incident,01/17/2015 06:37:00 AM +0000,47.579085,-122.400188,"(47.579085, -122.400188)",F150006000
1st Av / Marion St,Motor Vehicle Incident,01/17/2015 04:08:00 AM +0000,47.603982,-122.335586,"(47.603982, -122.335586)",F150005968
RAINIER AV S / S MCCLELLAN ST,Motor Vehicle Incident,01/17/2015 03:49:00 AM +0000,47.57835,-122.298151,"(47.57835, -122.298151)",F150005961
27th Av Ne / Ne 145th St,Motor Vehicle Incident,01/17/2015 01:56:00 AM +0000,47.733808,-122.299229,"(47.733808, -122.299229)",F150005934
Rainier Av S / S Chicago St,Motor Vehicle Incident,01/17/2015 01:22:00 AM +0000,47.532625,-122.269988,"(47.532625, -122.269988)",F150005930
10338 Densmore Av N,Motor Vehicle Incident,01/16/2015 11:22:00 PM +0000,47.703566,-122.337498,"(47.703566, -122.337498)",F150005889
Rainier Av S / 57th Av S,Motor Vehicle Incident,01/16/2015 08:05:00 PM +0000,47.520264,-122.261582,"(47.520264, -122.261582)",F150005798
M L King Jr Way S / S Henderson St,Motor Vehicle Incident,01/16/2015 06:45:00 PM +0000,47.523246,-122.279209,"(47.523246, -122.279209)",F150005762
S Rose St / Rainier Av S,Motor Vehicle Incident,01/16/2015 05:39:00 PM +0000,47.52913,-122.269987,"(47.52913, -122.269987)",F150005729
M L King Jr Way S / S Charlestown St,Motor Vehicle Incident,01/16/2015 04:51:00 PM +0000,47.570153,-122.296968,"(47.570153, -122.296968)",F150005710
Alaskan Way / Spring St,Motor Vehicle Incident,01/16/2015 04:14:00 PM +0000,47.604488,-122.339091,"(47.604488, -122.339091)",F150005698
5643 16th Av Sw,Motor Vehicle Incident,01/16/2015 04:00:00 PM +0000,47.55159,-122.354812,"(47.55159, -122.354812)",F150005697
Sb I5 Fr 145,Motor Vehicle Incident,01/16/2015 03:41:00 PM +0000,47.734069,-122.325596,"(47.734069, -122.325596)",F150005689
943 Nw Market St,Motor Vehicle Incident,01/16/2015 03:48:00 AM +0000,47.668661,-122.369061,"(47.668661, -122.369061)",F150005564
25th Av Ne / Ne 47th St,Motor Vehicle Incident,01/16/2015 03:39:00 AM +0000,47.663266,-122.300887,"(47.663266, -122.300887)",F150005556
N 130th St / Aurora Av N,Motor Vehicle Incident,01/16/2015 03:38:00 AM +0000,47.723212,-122.344977,"(47.723212, -122.344977)",F150005555
Renton Av S / S Cloverdale St,Motor Vehicle Incident,01/16/2015 03:10:00 AM +0000,47.526119,-122.276941,"(47.526119, -122.276941)",F150005545
39th Av S / S Graham St,Motor Vehicle Incident,01/16/2015 01:09:00 AM +0000,47.546021,-122.283341,"(47.546021, -122.283341)",F150005496
8th Av Ne / Ne 80th St,Motor Vehicle Incident,01/16/2015 12:45:00 AM +0000,47.68676,-122.320252,"(47.68676, -122.320252)",F150005487
S Lander St / Occidental Av S,Motor Vehicle Incident,01/15/2015 10:08:00 PM +0000,47.57981,-122.333269,"(47.57981, -122.333269)",F150005435
Sw Trenton St / Delridge Way Sw,Motor Vehicle Incident,01/15/2015 08:25:00 PM +0000,47.524693,-122.360479,"(47.524693, -122.360479)",F150005393
N 100th St / College Way N,Motor Vehicle Incident,01/15/2015 06:14:00 PM +0000,47.701412,-122.33511,"(47.701412, -122.33511)",F150005357
5th Av / Jefferson St,Motor Vehicle Incident,01/15/2015 04:51:00 PM +0000,47.602985,-122.328535,"(47.602985, -122.328535)",F150005332
15th Av Nw / Nw 80th St,Motor Vehicle Incident,01/15/2015 01:20:00 PM +0000,47.686878,-122.376793,"(47.686878, -122.376793)",F150005290
WESTLAKE AV N / MERCER ST,Motor Vehicle Incident,01/15/2015 06:09:00 AM +0000,47.624552,-122.338435,"(47.624552, -122.338435)",F150005233
12th Av E / E Denny Way,Motor Vehicle Incident,01/15/2015 02:16:00 AM +0000,47.618768,-122.31691,"(47.618768, -122.31691)",F150005155
16th Av Sw / Sw Cambridge St,Motor Vehicle Incident,01/15/2015 02:15:00 AM +0000,47.519196,-122.355145,"(47.519196, -122.355145)",F150005154
N 115th St / Aurora Av N,Motor Vehicle Incident,01/14/2015 11:54:00 PM +0000,47.712319,-122.344814,"(47.712319, -122.344814)",F150005113
S Holden St / West Marginal Way S,Motor Vehicle Incident,01/14/2015 11:17:00 PM +0000,47.534148,-122.332133,"(47.534148, -122.332133)",F150005086
51st Av S / S Pilgrim St,Motor Vehicle Incident,01/14/2015 11:05:00 PM +0000,47.515645,-122.270031,"(47.515645, -122.270031)",F150005081
710 N 39th St,Motor Vehicle Incident,01/14/2015 07:13:00 PM +0000,47.654138,-122.34924,"(47.654138, -122.34924)",F150004997
7032 15th Av Ne,Motor Vehicle Incident,01/14/2015 05:10:00 AM +0000,47.679644,-122.312009,"(47.679644, -122.312009)",F150004849
21ST AV S / E YESLER WAY,Motor Vehicle Incident,01/14/2015 03:53:00 AM +0000,47.601672,-122.305044,"(47.601672, -122.305044)",F150004828
3rd Av Nw / Holman Rd Nw,Motor Vehicle Incident,01/14/2015 02:20:00 AM +0000,47.7024,-122.360743,"(47.7024, -122.360743)",F150004798
Beacon Av S / Cheasty Blvd S,Motor Vehicle Incident,01/14/2015 12:07:00 AM +0000,47.561189,-122.305113,"(47.561189, -122.305113)",F150004751
8830 Lake City Way Ne,Motor Vehicle Incident,01/13/2015 11:15:00 PM +0000,47.69237,-122.305697,"(47.69237, -122.305697)",F150004745
Airport Way S / S Hardy St,Motor Vehicle Incident,01/13/2015 09:49:00 PM +0000,47.546517,-122.313028,"(47.546517, -122.313028)",F150004713
4th Av / Spring St,Motor Vehicle Incident,01/13/2015 08:26:00 PM +0000,47.606801,-122.333562,"(47.606801, -122.333562)",F150004681
Roosevelt Way Ne / Ne 91st St,Motor Vehicle Incident,01/13/2015 07:49:00 PM +0000,47.694923,-122.317594,"(47.694923, -122.317594)",F150004671
2101 S Jackson St,Motor Vehicle Incident,01/13/2015 03:32:00 PM +0000,47.599268,-122.304323,"(47.599268, -122.304323)",F150004587
4th Av S / S Orcas St,Motor Vehicle Incident,01/13/2015 11:37:00 AM +0000,47.551875,-122.329565,"(47.551875, -122.329565)",F150004549
Ne 66th St / 15th Av Ne,Motor Vehicle Incident,01/13/2015 03:32:00 AM +0000,47.676507,-122.311945,"(47.676507, -122.311945)",F150004447
S Spokane St / 4th Av S,Motor Vehicle Incident,01/13/2015 12:16:00 AM +0000,47.571421,-122.329077,"(47.571421, -122.329077)",F150004391
20th Av S / S Lane St,Motor Vehicle Incident,01/12/2015 11:15:00 PM +0000,47.596641,-122.306365,"(47.596641, -122.306365)",F150004367
Corson Av S / S Michigan St,Motor Vehicle Incident,01/12/2015 10:07:00 PM +0000,47.547503,-122.321439,"(47.547503, -122.321439)",F150004336
6000 16th Av Sw,Motor Vehicle Incident,01/12/2015 09:01:00 PM +0000,47.54887,-122.354833,"(47.54887, -122.354833)",F150004325
Delridge Way Sw / Sw Cloverdale St,Motor Vehicle Incident,01/12/2015 06:25:00 PM +0000,47.526488,-122.36047,"(47.526488, -122.36047)",F150004278
Delridge Way Sw / Sw Cloverdale St,Motor Vehicle Incident,01/12/2015 06:25:00 PM +0000,47.526488,-122.36047,"(47.526488, -122.36047)",F150004277
Highland Park Way Sw / West Marginal Way Sw,Motor Vehicle Incident,01/12/2015 02:34:00 PM +0000,47.540353,-122.342181,"(47.540353, -122.342181)",F150004220
2133 5th Av,Motor Vehicle Incident,01/12/2015 11:21:00 AM +0000,47.614747,-122.340899,"(47.614747, -122.340899)",F150004189
13th Av / E Jefferson St,Motor Vehicle Incident,01/12/2015 01:01:00 AM +0000,47.606197,-122.315471,"(47.606197, -122.315471)",F150004046
3rd Av Nw / Nw 70th St,Motor Vehicle Incident,01/11/2015 09:34:00 PM +0000,47.67956,-122.360469,"(47.67956, -122.360469)",F150003992
5900 West Marginal Way Sw,Motor Vehicle Incident,01/11/2015 12:06:00 PM +0000,47.549185,-122.345547,"(47.549185, -122.345547)",F150003886
13th Av / E Madison St,Motor Vehicle Incident,01/11/2015 06:14:00 AM +0000,47.613354,-122.315518,"(47.613354, -122.315518)",F150003785
15th Av Ne / Ne 143rd St,Motor Vehicle Incident,01/11/2015 04:46:00 AM +0000,47.732126,-122.312724,"(47.732126, -122.312724)",F150003746
N 41st St / Wallingford Av N,Motor Vehicle Incident,01/11/2015 04:03:00 AM +0000,47.656817,-122.336241,"(47.656817, -122.336241)",F150003736
Nw 65th St / 12th Av Nw,Motor Vehicle Incident,01/10/2015 10:59:00 PM +0000,47.675962,-122.371953,"(47.675962, -122.371953)",F150003628
S Mcclellan St / Rainier Av S,Motor Vehicle Incident,01/10/2015 09:12:00 AM +0000,47.57835,-122.298151,"(47.57835, -122.298151)",F150003449
Boren Av / Olive Way,Motor Vehicle Incident,01/10/2015 06:47:00 AM +0000,47.61545,-122.33073,"(47.61545, -122.33073)",F150003412
12th Av S / Boren Av S,Motor Vehicle Incident,01/10/2015 12:06:00 AM +0000,47.600853,-122.316965,"(47.600853, -122.316965)",F150003307
2nd Av W / Western Av W,Motor Vehicle Incident,01/09/2015 10:07:00 PM +0000,47.619785,-122.359358,"(47.619785, -122.359358)",F150003247
15th Av S / S Snoqualmie St,Motor Vehicle Incident,01/09/2015 08:01:00 PM +0000,47.561701,-122.31348,"(47.561701, -122.31348)",F150003199
Albion Pl N / Bridge Way N,Motor Vehicle Incident,01/09/2015 06:43:00 PM +0000,47.653406,-122.344714,"(47.653406, -122.344714)",F150003170
Ne 93rd St / Sand Point Way Ne,Motor Vehicle Incident,01/09/2015 04:32:00 PM +0000,47.695896,-122.276484,"(47.695896, -122.276484)",F150003130
18th Av Sw / Sw Trenton St,Motor Vehicle Incident,01/09/2015 04:56:00 AM +0000,47.5247,-122.357775,"(47.5247, -122.357775)",F150002983
235 Bellevue Av E,Motor Vehicle Incident,01/09/2015 03:01:00 AM +0000,47.620039,-122.326574,"(47.620039, -122.326574)",F150002962
Aurora Av N / N 115th St,Motor Vehicle Incident,01/08/2015 11:35:00 PM +0000,47.712319,-122.344814,"(47.712319, -122.344814)",F150002897
39th Av S / S Graham St,Motor Vehicle Incident,01/08/2015 10:39:00 PM +0000,47.546021,-122.283341,"(47.546021, -122.283341)",F150002881
35th Av Sw / Fauntleroy Way Sw,Motor Vehicle Incident,01/08/2015 08:24:00 PM +0000,47.565546,-122.376196,"(47.565546, -122.376196)",F150002842
2700 M L King Jr Way S,Motor Vehicle Incident,01/08/2015 08:05:00 PM +0000,47.579338,-122.296188,"(47.579338, -122.296188)",F150002835
Alaskan Way S / East Marginal Way S,Motor Vehicle Incident,01/08/2015 06:39:00 PM +0000,47.586683,-122.340002,"(47.586683, -122.340002)",F150002817
M L King Jr Way S / S Kenyon St,Motor Vehicle Incident,01/08/2015 04:50:00 PM +0000,47.531537,-122.280793,"(47.531537, -122.280793)",F150002777
30th Av Sw / Sw Thistle St,Motor Vehicle Incident,01/08/2015 04:46:00 PM +0000,47.528283,-122.371246,"(47.528283, -122.371246)",F150002776
Brooklyn Av Ne / Ne Pacific St,Motor Vehicle Incident,01/08/2015 12:26:00 AM +0000,47.653599,-122.314489,"(47.653599, -122.314489)",F150002549
Burke Av N / N 46th St,Motor Vehicle Incident,01/07/2015 10:51:00 PM +0000,47.662127,-122.335168,"(47.662127, -122.335168)",F150002518
Ne 125th St / Lake City Way Ne,Motor Vehicle Incident,01/07/2015 10:49:00 PM +0000,47.719279,-122.295233,"(47.719279, -122.295233)",F150002516
Wallingford Av N / N 97th St,Motor Vehicle Incident,01/07/2015 04:00:00 PM +0000,47.699594,-122.336545,"(47.699594, -122.336545)",F150002386
56TH AV S / S BANGOR ST,Motor Vehicle Incident,01/07/2015 03:26:00 PM +0000,47.506124,-122.263103,"(47.506124, -122.263103)",F150002378
5th Av Ne / Ne 117th St,Motor Vehicle Incident,01/07/2015 03:05:00 AM +0000,47.714046,-122.323434,"(47.714046, -122.323434)",F150002215
Ne 117th St / 5th Av Ne,Motor Vehicle Incident,01/07/2015 03:05:00 AM +0000,47.714046,-122.323434,"(47.714046, -122.323434)",F150002214
7615 California Av Sw,Motor Vehicle Incident,01/06/2015 10:47:00 PM +0000,47.534263,-122.38733,"(47.534263, -122.38733)",F150002113
East Marginal Way S / 1st Av S,Motor Vehicle Incident,01/06/2015 05:05:00 PM +0000,47.548271,-122.334309,"(47.548271, -122.334309)",F150001972
2400 11th Av Sw,Motor Vehicle Incident,01/06/2015 07:15:00 AM +0000,47.584283,-122.350759,"(47.584283, -122.350759)",F150001854
Roosevelt Way N / 1st Av Ne,Motor Vehicle Incident,01/06/2015 01:41:00 AM +0000,47.726116,-122.328878,"(47.726116, -122.328878)",F150001782
3rd Av Sw / Olson Pl Sw,Motor Vehicle Incident,01/05/2015 06:32:00 PM +0000,47.519699,-122.338395,"(47.519699, -122.338395)",F150001617
22nd Av E / E Roanoke St,Motor Vehicle Incident,01/05/2015 06:03:00 PM +0000,47.643161,-122.303776,"(47.643161, -122.303776)",F150001601
17th Av Sw / Sw Roxbury St,Motor Vehicle Incident,01/05/2015 03:37:00 PM +0000,47.517361,-122.356511,"(47.517361, -122.356511)",F150001550
4th Av S / Edgar Martinez Dr S,Motor Vehicle Incident,01/05/2015 01:34:00 PM +0000,47.590311,-122.32905,"(47.590311, -122.32905)",F150001530
5450 Sand Point Way Ne,Motor Vehicle Incident,01/05/2015 04:13:00 AM +0000,47.66825,-122.274662,"(47.66825, -122.274662)",F150001422
35th Av Sw / Fauntleroy Way Sw,Motor Vehicle Incident,01/04/2015 10:17:00 PM +0000,47.565546,-122.376196,"(47.565546, -122.376196)",F150001333
Sb I5 To 85,Motor Vehicle Incident,01/04/2015 07:46:00 PM +0000,47.694435,-122.329495,"(47.694435, -122.329495)",F150001287
